中泽农贸市场 , 青浦区中泽路102号
惠民生鲜永翔佳苑农贸市场 , 南翔金润路499号
欣隆农贸市场 , 老闵行龙吴路3233临
新蕾农贸市场 , 新桥陈春公路799弄4临
新木桥农贸市场临时交易点 , 嘉定镇嘉罗公路2073号附近
三元河农贸市场 , 青浦城区城中西路258号
叶榭农贸市场 , 松江区中原二村16号附近
美加乐农贸市场 , 上海影城/新华路武夷路304号
白龙港农贸市场 , 浦东新区凌白公路1097号临附近
白杨农贸市场 , 上海大学顾陈路318号
曙建农贸市场 , 春申地区曙建路111号
爱博农贸市场 , 三林地区迎博路240号
和宁农贸市场 , 大宁地区万荣路88-106号
华唐农贸市场 , 嘉定区浏翔公路7256号附近
杨行农贸市场 , 杨行松兰路846号
云景农贸市场 , 九亭涞坊路617号
白鹤农贸市场 , 青浦区白鹤镇鹤祥路194号
贝港农贸市场(解放西路店) , 南桥解放西路368-388号
沧源农贸市场 , 老闵行德宏路2589号
陈桥农贸市场 , 北蔡五星路220号
城河路农贸市场 , 金山卫板桥西路1129号
枫桥农贸市场 , 曹杨地区梅岭北路105号
富亭农贸市场经营部 , 九亭九亭大街1039号
贵杰农贸市场 , 金山卫石化十一村71号
茸北农贸市场停车场 , 松江镇北松公路7459号
弘辉农贸市场 , 四川北路横浜路75号
勤益农贸市场 , 川沙跃东路255号
馨富农贸市场 , 江桥嘉峪关路
农贸市场 , 新场沪南公路
枫泾粽子王 , 枫泾枫泾古镇门口
真南农副产品批发市场 , 桃浦华联路28号
朱莘菜市场 , 闵行区高兴路128号
中港菜市场 , 浦东新区鑫旺路88号
练塘菜市场 , 青浦区练北路140-148号
新桥农贸新市场 , 松江区新育路406弄47号
吴泾菜市场 , 吴泾剑川路99号
城东菜市场 , 青浦城区浦仓路185号
云厅阁饭店 , 朱家角朱家角镇漕平路42号农贸市场28-30号
振记和味(宝山店) , 上海大学市台路515弄农贸市场
老班长饭店 , 朱家角朱家角镇漕平路农贸市场43号-15
云厅阁饭店 , 朱家角朱家角镇漕平路42号农贸市场28-30号
威铭海鲜(挪威三文鱼刺身) , 金杨地区浦东大道2507弄,浦东大道农贸市场A237,(威铭海鲜)挪威冰鲜三文鱼刺身
秋霞阁(秋霞阁外卖2部) , 上海影城/新华路安顺路新华农贸市场门口
迎博休闲大浴场 , 金山卫山阳镇 体育路30号（农贸市场三楼）
阿三羊肉 , 华漕诸翟镇农贸市场内
苏州嘉乐半成品方便菜 , 中原地区中原路209号阳普农贸市场内271号苏州嘉乐
老北京挂炉烤鸭 , 上南地区东明路东明农贸市场内
九星菜市场 , 闵行区九星综合市场农贸市场南外1号
公交车(198路) , 莘庄长乐路淡水路-七宝农贸市场
珍辣味.麻辣捞汤 , 丰庄金鼎路1830号金鼎农贸市场正门
刘老三爆鱼 , 普陀区桃浦三村水果街真南农贸市场D023号
紫藤小吃店 , 龙柏地区紫藤路紫藤农贸市场
海上游子老鸭粉丝馆 , 丰庄丰庄北路375号‎丰庄农贸市场
小赵特色牛肉煎包 , 庙行/共康虎林路239号新星农贸市场E9号
韩氏水果店 , 天山天山路585弄19号澳华农贸市场水果6号
开心川面馆 , 丰庄丰庄路375弄农贸市场内-云婷宾馆对面
曹杨八村馅饼店 , 真如南石四路八村农贸市场
东盟特产专卖店 , 曹杨地区兰溪路56号铁路农贸市场18号店铺
广茂香(西乡路店) , 中山北路/甘泉地区西乡路75号农贸市场内
紫燕百味鸡(10168塘南店) , 七宝富强街44号（塘南农贸市场）外3号
老北京果木烤鸭 , 奉贤区柘林镇农贸市场
老吴粮油店 , 闵行区九星综合市场农贸市场南外13号
小程粮油店 , 闵行区九星综合市场农贸市场南内15-1号
烈火奶酪蛋糕(铁路农贸市场店) , 曹杨地区铁路农贸市场29号
粥公粥婆 , 徐泾明珠路徐泾农贸市场
韩家羊肉 , 南桥南桥镇江海农贸市场西门110号
拌菜一绝(国京路雨润熟食店) , 金杨地区栖山路1385号农贸市场熟食店
紫燕百味鸡(10052新延长店) , 大宁地区平延农贸市场A区-39号（延长路125号）
北京啤酒烤鸭 , 浦江镇立建路苏召路交叉口南行100米-浦众农贸市场
熏鱼 , 桃浦桃浦路1148弄申泉农贸市场A-51
上海荣昌粮油 , 浦东新区金杨路632号枣庄农贸市场外10号
南方点心店 , 九亭沪亭南路75弄1号九亭农贸市场
聚香阁过桥米线 , 丰庄丰庄农贸市场
世纪华联 , 九亭九亭大街大唐农贸市场内
贪吃小站 , 淮海路车墩祥东农贸市场3号店
膳博士肉品(曹安农贸店) , 真如武宁路2255号曹安农贸市场内
诚信百货批发部 , 新桥新农贸市场406弄66号
华联超市(朱家角店) , 青浦区朱家角农贸市场
江镇副食品商店 , 浦东机场江镇北市农贸市场内
果木烤鸭店 , 九亭九亭镇沪亭南路(靠近九亭大街)九亭农贸市场75弄73号
优悠奶站(长江店) , 东平镇黄河路长江农场农贸市场120号
金满城农家菜 , 人民广场高区青州街142 - 1帝王宫农贸市场东侧
南翔小笼食品店 , 北区汽车站芷江西路50号龙群农贸市场59号摊位
扬州汤包 , 真如南石四路114号〈南石农贸市场〉4号
山东煎饼 , 同乐坊曹家渡街道余姚农贸市场A4房余姚路417号
山东水饺 , 丰庄丰庄北路375号丰庄农贸市场
水果大卖场 , 闵行区都市路1958弄19号农贸市场B1楼02
友好邻居超市 , 杨行杨行镇松兰路846号农贸市场二楼
千里香馄饨王 , 大宁地区万荣路和宁农贸市场96号-1
公交车(枫泾4路) , 兴塔农贸市场---兴寒路寒泾
蟹黄小笼(松江店) , 老闵行车墩镇车峰路300号祥东农贸市场42号摊位
正宗福建鱼丸 , 中山北路/甘泉地区宜川路118号宜川农贸市场内26号
和光眼镜 , 春申地区朱莘农贸市场4号
海滨海鲜 , 南门三沙洪路农贸市场19-20号
中国联通(长兴岛营业厅) , 长兴镇长兴岛凤滨路258号上海润丰农贸市场内
茂稼蔬果(清峪店) , 梅川路清峪路49号清峪农贸市场30-32号
张氏粮油经营部 , 闵行区九星综合市场农贸市场南内15-2号
刘静通讯设备 , 闵行区九星综合市场农贸市场西外14号
憶陶居广式烧腊坊(爱辉路店) , 通河/泗塘爱辉路农贸市场50号
牛奶蛋糕屋 , 天山天山路585弄19号澳华农贸市场街面13号
紫燕百味鸡(10096人民北路店) , 松江镇岳阳街道人民北路196号招商农贸市场西南门
霞明超市(新桥店) , 新桥教育路农贸市场二区
老北京挂炉烤鸭 , 金桥金高路2021号张桥农贸市场外
米里茶饮 , 彭浦新村岭南路岭南农贸市场门口
公交车(枫泾5路) , 兴塔农贸市场-韩坞
淮南牛肉面 , 丰庄丰庄路农贸市场外4号
绿伟安心早点 , 源深体育中心巨野路栖山农贸市场
老地方饭店 , 丰庄丰庄路农贸市场
圣达鞋服商场 , 闵行区九星综合市场农贸市场九星路北外8号2楼
紫燕百味鸡(10296朱家角店) , 朱家角朱家角菜场农贸市场附属17号
精武鸭脖 , 丰庄丰庄北路375号丰庄农贸市场外36号
阳光牛奶超市 , 嘉定区金鼎路1820金鼎农贸市场内
萌宠物语 , 虹梅路莘朱东路兴南路晶实农贸市场009室
小钱下沙烧麦 , 三林地区灵岩南路251号灵丰农贸市场
怡乐便利店 , 奉贤区大昌路泰日农贸市场23号
禄升蛋糕 , 万源城/东兰路九星建材市场农贸市场小吃街南外1号
程林水果店 , 徐家汇乐山路115号乐山农贸市场内南3号
郝记烧鸭馆 , 七宝七宝老街农贸市场北固弄88号对面
福建千里香馄饨(万镇店) , 梅川路万镇路万胜农贸市场
木易氏河南拉面(虹莘路店) , 万源城/东兰路九星农贸市场南外2号
九星镇江锅盖面王 , 万源城/东兰路九星综合市场农贸市场南外2号
南京汤包馆 , 天山天山路585弄19号澳华农贸市场食街内
福美女子专业会馆 , 宝山区盛桥镇农贸市场南18号
安吉土鸡专卖店 , 平凉路齐齐哈尔路昆明路盐阜农贸市场83号
恒都牛肉(灵丰店) , 三林镇灵岩南路250号灵丰农贸市场
李娟综合商店(中兴店) , 东滩/前哨农场中兴镇北七滧农贸市场边
指爱你美甲 , 桃浦杨家桥农贸市场
天津灌汤包 , 新海镇新海镇新海农贸市场内
倪亚兰蔬菜铺 , 崇明县其他崇明长江农场农贸市场
三十六层香掉牙酥饼 , 三林地区三林城东明农贸市场后侧
公交车(枫泾3路) , 金山区兴塔农贸市场---下坊渡
8090排挡 , 朱家角朱家镇淀湖山庄农贸市场
鑫福大药房 , 徐泾徐泾镇明珠路258号农贸市场内
鹫山农贸市场 , 闵行区纪鹤路793-临
界泾港农贸市场 , 青浦城区浦超路
白鹤农贸市场红味熟食 , 青浦区外青松公路2936号市场内4号营业房
上海阿婆私房菜(同乐路店) , 佘山同乐路332号
七涧堂 , 三林地区上南路附近
沙县小吃 , 春申地区曙建路111-6号
巧思婚礼制作 , 航头航兴路117号
大连海参专卖店 , 桃浦金鼎路1808号
南京雨润熟食店 , 五角场/大学区国京路
街角蛋糕(九星店) , 闵行区九星建材市场农贸市场小吃街南外1号
大枣地瓜面开花馒头 , 聚财农贸市场沿街9号
牛先生 , 普陀区真南路2949号华环真南农贸市场C70
刘记烘焙坊 , 曹杨地区曹杨路铁路农贸市场40号
爆鱼坊 , 华漕华漕诸翟农贸市场
亚草服装有限公司 , 闵行区九星综合市场九星路农贸市场外2号
哈密瓜蛋糕店 , 普陀区市台路515弄宴芸农贸市场内108号
都卖食品 , 浦东新区航头镇商城农贸市场内959号
港式鸡脆骨 , 嘉定区丰庄农贸市场
放牛班土菜馆 , 万源城/东兰路九星农贸市场小吃街8号九星路虹莘路口
香米糕 , 顾家岗重庆路三环桥下面农贸市场
双皮汤包馒头专卖店 , 闵行区虹莘路九星农贸市场南外四号
外婆妈妈家常菜 , 桃浦真华路56号A-08农贸市场
周记糕点 , 奉贤区曙宏路农贸市场
赵家乐怡水果店 , 杨行松兰路846号杨行农贸市场内4-5号
天江冷冻品 , 浦东新区沪南路2000号农贸市场
宫廷名点 , 浦东新区金桥路农贸市场里
晨光烧饼(祝桥店) , 浦东新区祝桥镇金亭公路百熙路东港农贸市场
上海时尚美食 , 闵行区静安新城宝静农贸市场
双汇批零中心店(干巷店) , 金山区干巷农贸市场20号
双汇批零中心店(仓丰路店) , 松江镇仓丰路855弄三辰苑农贸市场内
栗子王行南路店 , 外高桥行南路农贸市场旁
老上海羊肉 , 华漕诸翟镇农贸市场内
权奕风味小吃 , 涞亭北路七宝农贸市场
安捷驾驶员培训中心 , 金山新城山阳镇体育路农贸市场176号
志远生活水配送 , 青浦区青浦徐泾镇卫家角农贸市场
轩岗华美轩蛋糕店 , 轩岗乡遮相农贸市场对面
美味手撕烤鸭 , 张江北川公路贝越农贸市场旁边
温州饭店(星港街店) , 万源城/东兰路九星农贸市场南外14号
雨润熟食(万胜农贸市场店) , 梅川路真新街道梅川路1481号
大茶杯 , 陈岱镇农贸市场旁
快购百货 , 闵行区近莘朱东路228号晶实农贸市场005号店
胡老头鱼丸(中原路店) , 中原地区中原路209号
盱眙兄弟龙虾(祝桥店) , 浦东机场祝桥镇百熙路祝城路交叉口
胡老头鱼丸(鞍山支路店) , 控江地区鞍山支路11号
欣侣dog宠物家园 , 九亭松江九亭虬泾路559弄49号
周记酸菜鱼 , 堡镇堡镇正大路58号
尚优玛特(北翟路店) , 虹桥镇华漕镇北翟路1554弄51号
火火锅盔 , 源深体育中心巨野路236号
上海农商银行24小时自助银行（肖... , 西渡沪杭公路358号
闻老大香掉牙酥饼 , 嘉定区胜辛路2517号
环宇造型 , 西渡西渡镇沪杭公路359号
baby 美甲美睫 , 梅川路梅川路800弄4号
小四川家常菜 , 西藏北路/中兴路芷江中路373号
高德家禽有限公司 , 真如南石四路
重庆鸡公煲 , 崇明县其他陈彷公路3171弄7号
茂记烤鸭 , 松江镇庙前街45号1楼
乐都影社 , 松江镇乐都路54-1号
风行茶饮(江桥店) , 江桥海川路58弄16号101室
芳芳花店 , 北新泾福泉路442号
老五村 , 动物园/虹桥机场剑河路金钟路口
紫燕百味鸡(10156方锦路店) , 南方商城安亭镇方锦路58号宝安农贸市场G5
吉丽缘 , 安亭方泰方锦路58号淘宝城2楼23号商铺
康记桂林米粉(丰庄店) , 丰庄丰庄北路419号
千里香馄饨 , 奉贤区奉贤新寺镇新林路沪杭公路口
羿佳渔具 , 张江横沔江路86-90号孙桥劳动8队赵家宅1号
西域风味面馆 , 青浦区赵重公路
和平崇明糕经营部 , 东滩/前哨农场中心镇陈彷公路3173弄12号
紫燕百味鸡(10203武威东路店) , 普陀区长征镇武威东路262号生友农贸市场12号门面
东篱园藏獒别墅 , 奉贤区奉贤庄行镇大叶公路邬桥张塘村1030号
安吉千亩农庄 , 曹杨地区曹杨路875号曹阳铁路农贸市场A027室
安徽土菜馆 , 九亭九新公路
三门路炸猪排 , 杨浦区三门路491号
江杨农产品批发市场 , 庙行/共康江杨北路98号
